input_text,target_text
"Subject: Kotlin, Level: Advanced","Mastering Concurrency and Kotlin, Advanced practices in OOP, Capstone Project using Android Development and Coroutines"
"Subject: Deep Learning, Level: Advanced","Mastering TensorFlow and CNNs, Advanced practices in RNNs, Capstone Project using Keras and Neural Networks"
"Subject: C++, Level: Beginner","Introduction to C++, Basics of Data Structures and Memory Management, Projects on STL"
"Subject: Artificial Intelligence, Level: Intermediate","Deep dive into Deep Learning and Python, Advanced Reinforcement Learning concepts, Hands-on project with NLP"
"Subject: Game Development, Level: Intermediate","Deep dive into 3D Modeling and Unity, Advanced C# concepts, Hands-on project with Game Physics"
"Subject: Data Engineering, Level: Advanced","Mastering ETL and Hadoop, Advanced practices in SQL, Capstone Project using Spark and Data Pipelines"
"Subject: Pytorch, Level: Advanced","Mastering RNNs and Neural Networks, Advanced practices in Pytorch, Capstone Project using Deep Learning and CNNs"
"Subject: Hadoop, Level: Advanced","Mastering Big Data and MapReduce, Advanced practices in Distributed Systems, Capstone Project using Hadoop and Data Storage"
"Subject: Azure Cloud, Level: Intermediate","Deep dive into Data Lakes and Azure Functions, Advanced AI Services concepts, Hands-on project with Azure"
"Subject: Hadoop, Level: Beginner","Introduction to Data Storage, Basics of Big Data and Hadoop, Projects on Distributed Systems"
"Subject: Blockchain, Level: Intermediate","Deep dive into Decentralized Apps and Ethereum, Advanced Smart Contracts concepts, Hands-on project with Solidity"
"Subject: Ruby, Level: Beginner","Introduction to OOP, Basics of Web Development and Rails, Projects on ActiveRecord"
"Subject: Cybersecurity, Level: Advanced","Mastering Network Security and Cryptography, Advanced practices in Ethical Hacking, Capstone Project using Penetration Testing"
"Subject: Hadoop, Level: Advanced","Mastering MapReduce and Distributed Systems, Advanced practices in Data Storage, Capstone Project using Big Data and Hadoop"
"Subject: Blockchain, Level: Advanced","Mastering Decentralized Apps and Smart Contracts, Advanced practices in Solidity, Capstone Project using Ethereum"
"Subject: Ruby, Level: Advanced","Mastering ActiveRecord and Ruby, Advanced practices in Rails, Capstone Project using Web Development and OOP"
"Subject: Spark, Level: Intermediate","Deep dive into Spark and Machine Learning, Advanced Data Pipelines concepts, Hands-on project with Distributed Computing"
"Subject: Flask, Level: Intermediate","Deep dive into Web Development and Microservices, Advanced Python concepts, Hands-on project with Flask"
"Subject: Kotlin, Level: Advanced","Mastering Android Development and Kotlin, Advanced practices in Coroutines, Capstone Project using OOP and Concurrency"
"Subject: React Native, Level: Intermediate","Deep dive into UI Design and State Management, Advanced React Native concepts, Hands-on project with JavaScript"
"Subject: Digital Marketing, Level: Intermediate","Deep dive into Email Marketing and Social Media Marketing, Advanced Google Analytics concepts, Hands-on project with SEO"
"Subject: Salesforce, Level: Beginner","Introduction to Customer Service, Basics of Lead Management and CRM, Projects on Sales Automation"
"Subject: Natural Language Processing, Level: Intermediate","Deep dive into Language Models and Text Processing, Advanced Chatbots concepts, Hands-on project with NLP"
"Subject: IOT, Level: Advanced","Mastering Embedded Systems and Data Analytics, Advanced practices in Sensors, Capstone Project using IOT and Networking"
"Subject: Financial Modeling, Level: Intermediate","Deep dive into Cash Flow Analysis and Financial Modeling, Advanced Forecasting concepts, Hands-on project with Excel"
"Subject: DevOps, Level: Intermediate","Deep dive into AWS and Infrastructure as Code, Advanced CI/CD concepts, Hands-on project with Kubernetes"
"Subject: C++, Level: Intermediate","Deep dive into STL and Data Structures, Advanced OOP concepts, Hands-on project with Memory Management"
"Subject: IOT, Level: Intermediate","Deep dive into Networking and Data Analytics, Advanced Sensors concepts, Hands-on project with Embedded Systems"
"Subject: Node.js, Level: Beginner","Introduction to Node.js, Basics of Backend Development and Express.js, Projects on APIs"
"Subject: Swift, Level: Advanced","Mastering iOS Development and UI Design, Advanced practices in Core Data, Capstone Project using APIs and Swift"
"Subject: Blockchain, Level: Beginner","Introduction to Decentralized Apps, Basics of Smart Contracts and Solidity, Projects on Ethereum"
"Subject: Data Governance, Level: Beginner","Introduction to Compliance, Basics of Data Quality and Data Privacy, Projects on Regulations"
"Subject: Docker, Level: Beginner","Introduction to Docker, Basics of CI/CD and Microservices, Projects on Containers"
"Subject: PHP, Level: Beginner","Introduction to Web Development, Basics of API Development and MySQL, Projects on PHP"
"Subject: Docker, Level: Advanced","Mastering Kubernetes and Docker, Advanced practices in Microservices, Capstone Project using CI/CD and Containers"
"Subject: Power BI, Level: Intermediate","Deep dive into Power BI and Power Query, Advanced Dashboards concepts, Hands-on project with DAX"
"Subject: TensorFlow, Level: Advanced","Mastering TensorFlow and Deep Learning, Advanced practices in Neural Networks, Capstone Project using CNNs and RNNs"
"Subject: Python, Level: Beginner","Introduction to Control Flow, Basics of Functions and Python, Projects on OOP"
"Subject: DevOps, Level: Advanced","Mastering Kubernetes and Infrastructure as Code, Advanced practices in AWS, Capstone Project using Docker and CI/CD"
"Subject: Big Data, Level: Beginner","Introduction to Hadoop, Basics of Distributed Systems and Spark, Projects on Big Data"
"Subject: Cloud Computing, Level: Beginner","Introduction to AWS, Basics of S3 and EC2, Projects on Google Cloud"
"Subject: Spark, Level: Beginner","Introduction to Distributed Computing, Basics of Machine Learning and Data Pipelines, Projects on Big Data"
"Subject: Data Engineering, Level: Intermediate","Deep dive into ETL and Data Pipelines, Advanced SQL concepts, Hands-on project with Hadoop"
"Subject: Big Data, Level: Beginner","Introduction to Hadoop, Basics of Spark and Big Data, Projects on Data Lakes"
"Subject: Deep Learning, Level: Beginner","Introduction to CNNs, Basics of RNNs and Neural Networks, Projects on Keras"
"Subject: Ruby, Level: Beginner","Introduction to Rails, Basics of ActiveRecord and OOP, Projects on Ruby"
"Subject: Docker, Level: Advanced","Mastering Kubernetes and Microservices, Advanced practices in Containers, Capstone Project using Docker and CI/CD"
"Subject: Data Science, Level: Beginner","Introduction to Machine Learning, Basics of NumPy and Pandas, Projects on Python"
"Subject: Flask, Level: Advanced","Mastering Microservices and REST APIs, Advanced practices in Web Development, Capstone Project using Flask and Python"
"Subject: Big Data, Level: Advanced","Mastering Data Lakes and Distributed Systems, Advanced practices in Big Data, Capstone Project using Hadoop and Spark"
"Subject: Pytorch, Level: Advanced","Mastering CNNs and RNNs, Advanced practices in Neural Networks, Capstone Project using Pytorch and Deep Learning"
"Subject: Quantum Computing, Level: Advanced","Mastering Quantum Algorithms and Quantum Cryptography, Advanced practices in Quantum Computing, Capstone Project using Qubits and Quantum Circuits"
"Subject: Web Development, Level: Intermediate","Deep dive into React and JavaScript, Advanced Node.js concepts, Hands-on project with CSS"
"Subject: Data Governance, Level: Advanced","Mastering Regulations and Compliance, Advanced practices in Data Governance, Capstone Project using Data Quality and Data Privacy"
"Subject: Docker, Level: Advanced","Mastering Kubernetes and CI/CD, Advanced practices in Containers, Capstone Project using Microservices and Docker"
"Subject: Financial Modeling, Level: Intermediate","Deep dive into Excel and Forecasting, Advanced Cash Flow Analysis concepts, Hands-on project with Budgeting"
"Subject: Spark, Level: Advanced","Mastering Machine Learning and Distributed Computing, Advanced practices in Spark, Capstone Project using Big Data and Data Pipelines"
"Subject: Django, Level: Intermediate","Deep dive into Django and ORM, Advanced Python concepts, Hands-on project with Web Development"
"Subject: Natural Language Processing, Level: Beginner","Introduction to Text Processing, Basics of Language Models and Chatbots, Projects on Sentiment Analysis"
"Subject: Edge Computing, Level: Beginner","Introduction to IOT, Basics of Networking and Distributed Systems, Projects on Edge Computing"
"Subject: Angular, Level: Beginner","Introduction to Components, Basics of Web Development and JavaScript, Projects on TypeScript"
"Subject: Kubernetes, Level: Advanced","Mastering CI/CD and Cloud Deployment, Advanced practices in Kubernetes, Capstone Project using Microservices and Containers"
"Subject: Data Warehousing, Level: Intermediate","Deep dive into SQL and Data Warehousing, Advanced Big Data concepts, Hands-on project with ETL"
"Subject: Google Cloud Platform, Level: Advanced","Mastering Kubernetes Engine and BigQuery, Advanced practices in Cloud Functions, Capstone Project using Compute Engine and GCP"
"Subject: Swift, Level: Beginner","Introduction to iOS Development, Basics of Core Data and Swift, Projects on APIs"
"Subject: Business Analytics, Level: Intermediate","Deep dive into Excel and Tableau, Advanced Power BI concepts, Hands-on project with Pivot Tables"
"Subject: Java, Level: Intermediate","Deep dive into Collections and Data Structures, Advanced OOP concepts, Hands-on project with Multithreading"
"Subject: Deep Learning, Level: Advanced","Mastering Keras and Neural Networks, Advanced practices in CNNs, Capstone Project using TensorFlow and RNNs"
"Subject: Web Development, Level: Advanced","Mastering CSS and Node.js, Advanced practices in JavaScript, Capstone Project using HTML and React"
"Subject: Reinforcement Learning, Level: Beginner","Introduction to Reinforcement Learning, Basics of Policy Gradient and Q-Learning, Projects on AI"
"Subject: Reinforcement Learning, Level: Beginner","Introduction to Reinforcement Learning, Basics of Deep Q Networks and Q-Learning, Projects on Policy Gradient"
"Subject: Kubernetes, Level: Beginner","Introduction to Kubernetes, Basics of Containers and Microservices, Projects on Cloud Deployment"
"Subject: Big Data, Level: Intermediate","Deep dive into Distributed Systems and Hadoop, Advanced Data Lakes concepts, Hands-on project with Spark"
"Subject: Excel, Level: Intermediate","Deep dive into Macros and Pivot Tables, Advanced Data Analysis concepts, Hands-on project with Formulas"
"Subject: Data Engineering, Level: Beginner","Introduction to Hadoop, Basics of SQL and Data Pipelines, Projects on ETL"
"Subject: Flask, Level: Intermediate","Deep dive into Python and REST APIs, Advanced Microservices concepts, Hands-on project with Flask"
"Subject: Big Data, Level: Beginner","Introduction to Data Lakes, Basics of Distributed Systems and Hadoop, Projects on Big Data"
"Subject: Angular, Level: Beginner","Introduction to Angular, Basics of TypeScript and JavaScript, Projects on Components"
"Subject: Mobile App Development, Level: Advanced","Mastering Swift and Dart, Advanced practices in React Native, Capstone Project using Flutter and Kotlin"
"Subject: Blockchain, Level: Intermediate","Deep dive into Smart Contracts and Solidity, Advanced Decentralized Apps concepts, Hands-on project with Ethereum"
